Order,Company,Stage,Raising,Country,Description,Tags,Website,Deck,Calendly,Grip,Team,Highlights,Dilutive,Non-Dilutive,Lead,Investors,Product,FDA,Contact,LinkedIn
1,Hulk Bio,Seed,$2M,United Kingdom,"Cell-based human milk, enabling parents with a healthier and more sustainable infant feeding alternative when breastfeeding isn't possible.",Women's Health,https://www.hulk.bio/,,,www.sosv.com,,,Below $1M,Below $1M,No,,Early Prototype,Yes,"Christina Rode, Founder and CEO",https://www.linkedin.com/in/christina-rode/
2,Rayforms,Seed,$2.1M,United States,Migraine medical device safe for pregnant women/children and highly effective for all,"Medical Devices, Neurotech, Women's Health",https://rayforma.com,https://drive.google.com/file/d/12radpnpIMOTodXT-s-wwVX24micaQiOX/view?usp=drive_link,calendly.com/jason-12345,,"Jason Parnes- former migraine sufferer, cpa inactive, licensed ibanker, record breaker 

Dr. Michael Teitelbaum- doctor who has been continuing in office treatments","- Curing patients in dramatic, effective ways (1-5 txs led to decades long relief)
- Changing the migraine narrative, no longer invisible illness per our IRB studies
- Double-blind clinical trial",Below $1M,Below $1M,No,,MVP,No,"Jason Parnes, CEO/Founder",https://www.linkedin.com/in/jason-parnes-06983495?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
3,Ricovr Healthcare Inc,Series B+,$6M,United States,"We are a Princeton based innovative medical device company that has developed a point-of-care rapid detection & diagnostics platform using a novel, patented technology.","Diagnostics, Medical Devices, Women's Health",https://www.ricovr.com,,https://calendly.com/ricovr,,"Ricovr Healthcare's team, led by Dr. Himanshu Bhatia, CEO & Founder, combines expertise in science, healthcare, and technology to revolutionize diagnostics. With industry leaders in business and science, the team drives innovation in point-of-care testing, guided by a world-class advisory board.","-Series A Funding Progress : We have recently completed our Series A raise.
-Validation by Rutgers University : Our platform has been validated by Rutgers University, where it showcased a remarkable 100% accuracy rate.
",$3M to $10M,$1M to $3M,No,"Surya Mohapatra (Ex CEO Quest Diagnostics), Harvard Business School Angels",MVP,Yes,"Himanshu Bhatia, CEO",https://www.linkedin.com/in/drhimanshubhatia/
4,"MisTee Wants To Know, Inc.  ",Pre-seed,$2M,United States,"A Procter & Gamble Beauty/WWD Media winner, the MisTeePRO handheld hair tool enables fast detangling/maintaining of curly/coily hair using a proprietary, patented hardware tool that discharges an all-natural, proprietary formulation. ",Women's Health,https://misteepro.com,https://drive.google.com/file/d/15hY8wlNIs5PmpY6U-n2gpJrX2vxc6KEi/view?usp=sharing,,,https://www.misteepro.com/team-4,"•	Raised $215k; both investors invested twice; two patent approvals pending.
•	Tested MVP; Over 50 stylists and consumers.  
•	Signed LOI a16z startup Mayvenn.     
•	Nearly 10,000 stylists in database
•	Accepted: Rochester Institute of Technology’s Venture Creations Incubator.  
",Below $1M,Below $1M,Yes,,MVP,No,"Janice Williams Oliver, Founder/CEO",https://www.linkedin.com/in/janicewilliamsoliver/
5,Latica Med Ltd.,Pre-seed,$1.5M,Israel,Latica leverages its innovative Acoustic Pulse Technology (APT) to enhance the success of in-vitro fertilization (IVF) treatments. ,"Therapeutics, Reproductive Health, Women's Health",https://latica-med.com/,https://drive.google.com/file/d/1RfigYfhTcd_pDJxLXnuYR10Bwtte5yb-/view?usp=sharing,,,"Eddy Papirov -CEO, Dr. Sari Sagiv - Clinical director, Yosh Dollberg - R&D, Prof. Shlomo Mashiach - Medical adviser ",Pre-clinically approved with 60% improvement in insemination success,Below $1M,0,No,,MVP,Yes,"Eddie Papirov, CEO",https://www.linkedin.com/in/eddy-papirov-5787a731/
6,Diagnio,Seed,,United Arab Emirates,"Diagnio is on a mission to help women manage their health from the comfort of home, by developing diagnostics & preventative care packages around family planning, postpartum and menopause","Digital Health, Diagnostics, Women's Health",https://diagnio.com,https://drive.google.com/file/d/1k7igIyvDlpFqSeGWlXf6hpVf7fQY0h-T/view?usp=drive_link,https://calendly.com/marinasol-diagnio,,"Serial founder, team super experienced in healthcare, international corporate & startup experience","- 4 months generating B2C revenue, growth up to $3700/m
- US FDA listed, approved by Abu Dhabi Dept of Health
- Strong B2B pipeline including Nabta Health, TII, Abu Dhabi Govt, Fakih IVF, SEHA
- Own AI/ML algorithms, in-app virtual health assistant",Below $1M,0,Yes,"Alchemist, Expert DOJO, ADQ (Flat6Labs)",Going to Market,Yes,"Marina Sol, CEO & Founder",https://www.linkedin.com/in/marinasol/
7,BIONIRS,Seed,$1.6M,Argentina,"We have developed  a patient friendly, autonomous and accessible optical mammography device for early breast cancer detection.","Medical Devices, Women's Health",https://bionirs.com/,https://docs.google.com/presentation/d/1cnxseJKJcIxnErvAJHx_g0KRe9HQ28CxsaX_OkbSTwE/edit#slide=id.g2e277bd2f9f_0_0,https://calendar.app.google/JQPoS5w8JceuRJFo7,,We are a small team with excellent technical expertise. The two co-founders are also the inventors of the patent. We collaborate synergistically with medical teams and other supporting professionals.,"Backed by a granted patent and a published PCT application
Successfully developed three prototypes; conducted a feasibility clinical studies with 60 patients recruited to the date.",0,0,No,,Early Prototype,Yes,"Pamela Pardini, CEO",https://www.linkedin.com/in/pamelapardini/
8,Rebundle,Seed,,United States,"Rebundle is the first US-based, plant-based hair extensions brand. Our revolutionary product, braidbetter, is made from discarded banana stems and is biodegradable after use. Our proprietary technology transforms straw-like fibers into hair-like fibers, offering wearers more comfort and less waste.","Women's Health, Consumer Goods",https://rebundle.co/,https://docs.google.com/presentation/d/1w5QTU1R9S4CEkH7FHYHm5Q0HSodFOM5m/edit?usp=sharing&ouid=102795321665321440976&rtpof=true&sd=true,,,,,$1M to $3M,Below $1M,No,,Growth,No,"Ciara May, CEO & Founder",https://www.linkedin.com/in/ciaraimanimay/
9,Embryoxite,Seed,$2M,Argentina,"We've developed a noninvasive, preimplantation test that combines FTIR  technology and mass spectrometry data, improving the outcome in IVF by up to 70% accuracy. ","Diagnostics, Reproductive Health, Women's Health",https://embryoxite.life/,https://drive.google.com/file/d/1WC92e9tx1qdhm2Uk9046ZzaPpF7jIgcG/view?usp=sharing,https://calendly.com/delfina-vilieri/30min,,"Our team combines unmatched expertise, assembling 15 highly skilled professionals with specialties in business, bioinformatics, embryology, bioengineering, and metabolomics research—bringing nearly 20 years of experience in their respective fields to achieve 70% predictive accuracy.","We’ve conducted trials with 1,000+ patients, achieved 65% accuracy, and secured agreements with 16 IVF centers across Latin America and Europe. Expanding into the U.S., we’ve partnered with two clinics to analyze 100 patients and improve our models.",Below $1M,Below $1M,No,Grid Exponencial,MVP,No,"Delfina Vilieri, CEO",https://www.linkedin.com/in/delfina-vilieri/
10,Calidar,Series A,$12M,United States,"Low precision in mammography causes 1.2M benign biopsies in the US/year. These benign biopsies cost $6B. Calidar is developing 4D Mammography to triple the precision of diagnostic mammograms, enabling improved clinical efficiencies and patient outcomes. ","Diagnostics, Medical Devices, Women's Health",https://www.calidarmedical.com/,https://calidarmedical-my.sharepoint.com/:b:/p/stefan_stryker/EVvjJ_Qm2hhNsJhRTziRRbYBwpToMkUMb-VP08gLHRodQA?e=64cXlz,,,"Calidar was co-founded by Stefan Stryker and Josh Carpenter who are world experts in volumetric X-ray diffraction imaging, the underlying technology of 4D Mammography. ","Proof of concept demonstrated on 300 breast tissue specimen.
Pilot in-human study starting Q1 of 2025.
FDA interested in our technology.",$1M to $3M,Below $1M,No,,MVP,Yes,"Stefan Stryker, Cofounder",https://www.linkedin.com/in/stefan-stryker-83b485162/
